"filename", "language", "C#", "JSON", "XML", "Properties", "comment", "blank", "total"
"e:\Projects\Development\Oxalate\OxalateServer\bin\Debug\netcoreapp3.1\OxalateServer.deps.json", "JSON", 0, 50, 0, 0, 0, 0, 50
"e:\Projects\Development\Oxalate\OxalateServer\bin\Debug\netcoreapp3.1\OxalateServer.runtimeconfig.dev.json", "JSON", 0, 8, 0, 0, 0, 0, 8
"e:\Projects\Development\Oxalate\OxalateServer\bin\Debug\netcoreapp3.1\OxalateServer.runtimeconfig.json", "JSON", 0, 9, 0, 0, 0, 0, 9
"e:\Projects\Development\Oxalate\OxalateServer\bin\Debug\netcoreapp3.1\config.json", "JSON", 0, 13, 0, 0, 0, 0, 13
"e:\Projects\Development\Oxalate\OxalateServer\bin\Debug\netcoreapp3.1\zh-cn.lang.json", "JSON", 0, 31, 0, 0, 0, 6, 37
"e:\Projects\Development\Oxalate\OxalateServer\bin\Release\netcoreapp3.1\OxalateServer.deps.json", "JSON", 0, 50, 0, 0, 0, 0, 50
"e:\Projects\Development\Oxalate\OxalateServer\bin\Release\netcoreapp3.1\OxalateServer.runtimeconfig.dev.json", "JSON", 0, 8, 0, 0, 0, 0, 8
"e:\Projects\Development\Oxalate\OxalateServer\bin\Release\netcoreapp3.1\OxalateServer.runtimeconfig.json", "JSON", 0, 9, 0, 0, 0, 0, 9
"e:\Projects\Development\Oxalate\OxalateServer\bin\Release\netcoreapp3.1\config.json", "JSON", 0, 12, 0, 0, 0, 0, 12
"e:\Projects\Development\Oxalate\OxalateServer\bin\Release\netcoreapp3.1\zh-cn.lang.json", "JSON", 0, 28, 0, 0, 0, 5, 33
"e:\Projects\Development\Oxalate\OxalateServer\config.json", "JSON", 0, 13, 0, 0, 0, 0, 13
"e:\Projects\Development\Oxalate\OxalateServer\obj\Debug\netcoreapp3.1\.NETCoreApp,Version=v3.1.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"e:\Projects\Development\Oxalate\OxalateServer\obj\Debug\netcoreapp3.1\OxalateServer.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 10, 5, 24
"e:\Projects\Development\Oxalate\OxalateServer\obj\Debug\netcoreapp3.1\OxalateServer.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 3, 0, 1, 4
"e:\Projects\Development\Oxalate\OxalateServer\obj\OxalateServer.csproj.nuget.dgspec.json", "JSON", 0, 181, 0, 0, 0, 0, 181
"e:\Projects\Development\Oxalate\OxalateServer\obj\OxalateServer.csproj.nuget.g.props", "XML", 0, 0, 18, 0, 0, 0, 18
"e:\Projects\Development\Oxalate\OxalateServer\obj\OxalateServer.csproj.nuget.g.targets", "XML", 0, 0, 6, 0, 0, 0, 6
"e:\Projects\Development\Oxalate\OxalateServer\obj\Release\netcoreapp3.1\.NETCoreApp,Version=v3.1.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"e:\Projects\Development\Oxalate\OxalateServer\obj\Release\netcoreapp3.1\OxalateServer.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 10, 5, 24
"e:\Projects\Development\Oxalate\OxalateServer\obj\Release\netcoreapp3.1\OxalateServer.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 3, 0, 1, 4
"e:\Projects\Development\Oxalate\OxalateServer\obj\project.assets.json", "JSON", 0, 112, 0, 0, 0, 0, 112
"e:\Projects\Development\Oxalate\OxalateServer\zh-cn.lang.json", "JSON", 0, 31, 0, 0, 0, 6, 37
"e:\Projects\Development\Oxalate\OxalateStandard\CommandCall.cs", "C#", 68, 0, 0, 0, 18, 11, 97
"e:\Projects\Development\Oxalate\OxalateStandard\OxalateStandard.csproj", "XML", 0, 0, 8, 0, 0, 4, 12
"e:\Projects\Development\Oxalate\OxalateStandard\Packet.cs", "C#", 60, 0, 0, 0, 16, 8, 84
"e:\Projects\Development\Oxalate\OxalateStandard\ScreenIO.cs", "C#", 98, 0, 0, 0, 16, 14, 128
"e:\Projects\Development\Oxalate\OxalateStandard\StringReader.cs", "C#", 62, 0, 0, 0, 0, 2, 64
"e:\Projects\Development\Oxalate\OxalateStandard\Translation.cs", "C#", 47, 0, 0, 0, 14, 7, 68
"e:\Projects\Development\Oxalate\OxalateStandard\User.cs", "C#", 53, 0, 0, 0, 9, 9, 71
"e:\Projects\Development\Oxalate\OxalateStandard\bin\Debug\netcoreapp3.1\OxalateStandard.deps.json", "JSON", 0, 36, 0, 0, 0, 0, 36
"e:\Projects\Development\Oxalate\OxalateStandard\bin\Release\netcoreapp3.1\OxalateStandard.deps.json", "JSON", 0, 36, 0, 0, 0, 0, 36
"e:\Projects\Development\Oxalate\OxalateStandard\obj\Debug\OxalateStandard.1.0.0.nuspec", "XML", 0, 0, 15, 0, 0, 0, 15
"e:\Projects\Development\Oxalate\OxalateStandard\obj\Debug\netcoreapp3.1\.NETCoreApp,Version=v3.1.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"e:\Projects\Development\Oxalate\OxalateStandard\obj\Debug\netcoreapp3.1\OxalateStandard.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 10, 5, 24
"e:\Projects\Development\Oxalate\OxalateStandard\obj\Debug\netcoreapp3.1\OxalateStandard.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 3, 0, 1, 4
"e:\Projects\Development\Oxalate\OxalateStandard\obj\OxalateStandard.csproj.nuget.dgspec.json", "JSON", 0, 120, 0, 0, 0, 0, 120
"e:\Projects\Development\Oxalate\OxalateStandard\obj\OxalateStandard.csproj.nuget.g.props", "XML", 0, 0, 18, 0, 0, 0, 18
"e:\Projects\Development\Oxalate\OxalateStandard\obj\OxalateStandard.csproj.nuget.g.targets", "XML", 0, 0, 6, 0, 0, 0, 6
"e:\Projects\Development\Oxalate\OxalateStandard\obj\Release\netcoreapp3.1\.NETCoreApp,Version=v3.1.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"e:\Projects\Development\Oxalate\OxalateStandard\obj\Release\netcoreapp3.1\OxalateStandard.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 10, 5, 24
"e:\Projects\Development\Oxalate\OxalateStandard\obj\Release\netcoreapp3.1\OxalateStandard.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 3, 0, 1, 4
"e:\Projects\Development\Oxalate\OxalateStandard\obj\project.assets.json", "JSON", 0, 90, 0, 0, 0, 0, 90
"Total", "-", 2722, 2655, 254, 30, 403, 392, 6456
